cota;vazao;;COTA INTERPOLADA Manaus;cota (original medição);area;vm;metodo;data;DIA;0,2917;cota_D_7h;cota_D+1_7h;Cota_Paricatuba;comentario;fonte;operador;local
2780;26600;;2780;2791;94238;0,282;4 - ADCP RiverRay de 600 kHz;07/05/2019 07:45;07/05/2019 00:00;0,031;2780;2784;2806;;banco cprm 14990000;Nailde e Fábio;
2786;61171;;2786;2789;93871;0,652;;25/07/2011 15:04;25/07/2011 00:00;0,336;2788;2782,5;0;;banco cprm 14990000;;
2784;42181;;2784;2784;;;ADCP;29/05/2001 12:00;29/05/2001 00:00;0,208;2784;2786;0;HYBAM BR24 Paricatuba;hydraccess;;paricatuba
2749;57837;;2749;2781;94062;0,61;;09/08/2012 12:39;09/08/2012 00:00;0,235;2750,5;2743;0;;banco cprm 14990000;;
2752;25966;;2752;2777;92374;0,281;;15/04/2015 14:53;15/04/2015 00:00;0,328;2752;2753;2776;;banco cprm 14911000;;
2694;30060;;2694;2776;87510;0,343503594;ADCP 300 KHz;20/03/2009 07:30;20/03/2009 00:00;0,021;2694;2699;0;BT --> 4 BT (0 cm/s) | Cote de Manaus;hydraccess;CPRM;paricatuba
2777;35030;;2777;2776;93200;0,375858366;ADCP 300 KHz;07/04/2009 10:00;07/04/2009 00:00;0,125;2776;2782;0;BT --> 2 BT ( cm/s) | Cote de Manaus;hydraccess;CPRM;paricatuba
2771;44880;;2771;2771;93000;0,482580632;ADCP 600 KHz + GPS;20/08/2009 08:00;20/08/2009 00:00;0,042;2771;2762;0;GGA + BT --> 4 GGA (0 cm/s) | Cote de Manaus;hydraccess;CPRM;paricatuba
2755;61639;;2755;2756;91690;0,672;;25/07/2008 13:41;25/07/2008 00:00;0,278;2756;2752;0;;banco cprm 14990000;;
2729;40219;;2729;2755;93704;0,429;;31/08/2015 10:16;31/08/2015 00:00;0,136;2730;2722;2755,5;;banco cprm 14911000;;
2726;68863;;2726;2754;93382;0,74;4 - ADCP RiverRay de 600 kHz;11/08/2018 11:50;11/08/2018 00:00;0,201;2727;2722;2757,5;;banco cprm 14911000;Patricia Sotero;
2752;29823;;2752;2751;91175;0,327;;12/05/2008 10:37;12/05/2008 00:00;0,151;2751;2755;0;;banco cprm 14990000;;
2737;45709;;2737;2736;;;ADCP;16/05/2000 12:00;16/05/2000 00:00;0,208;2736;2740;0;HYBAM BR18 Manaus;hydraccess;;manaus
2726;68863;;2726;2730;93392;0,74;4 - ADCP RiverRay de 600 kHz;11/08/2018 11:50;11/08/2018 00:00;0,201;2727;2722;2757,5;;banco cprm 14990000;Patrícia Sotero;
2676;59060;;2676;2708;91582;0,623;;25/07/2016 09:22;25/07/2016 00:00;0,099;2676;2675;0;;banco cprm 14911000;;
2670;22090;;2670;2670;90780;0,243;;14/04/2008 14:38;14/04/2008 00:00;0,318;2670;2671;0;;banco cprm 14990000;;
2642;12800;;2642;2667;90655;0,141;4 - ADCP RiverRay de 600 kHz;06/04/2019 13:00;06/04/2019 00:00;0,250;2641;2644;2668;;banco cprm 14911000;Nailde;
2642;35020;;2642;2666;93385;0,38;;20/03/2013 14:04;20/03/2013 00:00;0,294;2641;2644;0;;banco cprm 14990000;;
2636;33525;;2636;2662;92878;0,361;;13/05/2016 15:18;13/05/2016 00:00;0,346;2634;2640;0;;banco cprm 14911000;;
2642;12800;;2642;2651;90655;0,141;4 - ADCP RiverRay de 600 kHz;06/04/2019 12:00;06/04/2019 00:00;0,208;2641;2644;2668;;banco cprm 14990000;Nailde;
2623;27918;;2623;2648;90116;0,31;4 - ADCP RiverRay de 600 kHz;01/05/2018 11:30;01/05/2018 00:00;0,187;2622;2628;2649,5;;banco cprm 14911000;Nailde e Andre;
2643;56721;;2643;2647;91588;0,619;;29/07/2010 16:25;29/07/2010 00:00;0,392;2645,5;2639,5;0;;banco cprm 14990000;;
2645;30000;;2645;2646;;;ADCP;11/08/2001 12:00;11/08/2001 00:00;0,208;2646;2640;0;HYBAM BR26 Paricatuba;hydraccess;;paricatuba
2638;58888;;2638;2639;89182;0,66;;13/08/2008 10:35;13/08/2008 00:00;0,149;2639;2629;0;;banco cprm 14990000;;
2613;31250;;2613;2636;90551;0,345;;21/04/2011 14:38;21/04/2011 00:00;0,318;2611;2618;0;;banco cprm 14990000;;
2623;27918;;2623;2622;90116;0,31;4 - ADCP RiverRay de 600 kHz;01/05/2018 11:08;01/05/2018 00:00;0,172;2622;2628;2649,5;;banco cprm 14990000;Nailde e André;
2573;15201;;2573;2597;87317;0,174;;16/03/2015 16:06;16/03/2015 00:00;0,379;2571;2577;2595,5;;banco cprm 14911000;;
2554;34865;;2554;2583;88105;0,396;;18/09/2015 06:54;18/09/2015 00:00;-0,004;2554;2542;2580,5;;banco cprm 14911000;;
2551;16588;;2551;2577;89486;0,185;;14/03/2014 15:14;14/03/2014 00:00;0,343;2549;2555;0;;banco cprm 14990000;;
2521;43981;;2521;2545;87550;0,502;;19/09/2014 07:28;19/09/2014 00:00;0,019;2521;2508;0;;banco cprm 14911000;;
2545;20475;;2545;2542;87192;0,235;;18/04/2010 11:01;18/04/2010 00:00;0,167;2544;2552;0;;banco cprm 14990000;;
2508;18299;;2508;2535;86428;0,21;4 - ADCP RiverRay de 600 kHz;16/02/2019 11:00;16/02/2019 00:00;0,167;2507;2512;2535;;banco cprm 14911000;Patrícia Sotero;
2522;49625;;2522;2524;;;ADCP;17/09/1994 12:00;17/09/1994 00:00;0,208;2524;2515;0;HYBAM BR01 Manaus;hydraccess;;manaus
2525;27225;;2525;2521;87400;0,31;;16/02/2012 11:49;16/02/2012 00:00;0,201;2523,5;2533;0;;banco cprm 14990000;;
2519;49300;;2519;2520;88072;0,56;4 - ADCP RiverRay de 600 kHz;11/09/2019 09:36;11/09/2019 00:00;0,108;2521;2505;2550;;banco cprm 14990000;Manoelson e Alice;
2518;28618;;2518;2517;;;ADCP;18/03/2005 12:00;18/03/2005 00:00;0,208;2517;2524;0;HYBAM BR38 Paricatuba;hydraccess;;paricatuba
2508;18299;;2508;2516;86428;0,21;4 - ADCP RiverRay de 600 kHz;16/02/2019 11:00;16/02/2019 00:00;0,167;2507;2512;2535;;banco cprm 14990000;Patrícia Sotero;
2481;33240;;2481;2508;85720;0,38777414;ADCP 600 KHz + GPS;29/03/2011 16:30;29/03/2011 00:00;0,396;2479,5;2484,5;0;BT --> 2 BT (3 cm/s) | ;hydraccess;CPRM;paricatuba
2503;46465;;2503;2505;;;ADCP;19/09/1994 12:00;19/09/1994 00:00;0,208;2505;2495;0;HYBAM BR01 Manaus;hydraccess;;manaus
2458;33102;;2458;2486;86495;0,38;;07/02/2017 11:20;07/02/2017 00:00;0,181;2457;2463;2486,5;;banco cprm 14911000;;
2474;53105;;2474;2477;87392;0,61;4 - ADCP RiverRay de 600 kHz;11/09/2018 11:00;11/09/2018 00:00;0,167;2476;2465;2504;;banco cprm 14990000;Bernardo Oliveira e PEdro Dailson;
2451;11058;;2451;2472;85880;0,13;4 - ADCP RiverRay de 600 kHz;21/03/2018 10:58;21/03/2018 00:00;0,165;2451;2450;2472,5;;banco cprm 14911000;Patrícia;
2435;12465;;2435;2458;85021;0,147;;13/04/2016 12:57;13/04/2016 00:00;0,248;2433;2441;2459;;banco cprm 14911000;;
2451;11058;;2451;2451;85881;0,13;4 - ADCP RiverRay de 600 kHz;21/03/2018 10:58;21/03/2018 00:00;0,165;2451;2450;2472,5;;banco cprm 14990000;Patrícia;
2447;35709;;2447;2446;85013;0,42;;18/09/2009 06:07;18/09/2009 00:00;-0,037;2446;2429;0;;banco cprm 14990000;;
2454;13500;;2454;2443;85118;0,158;4 - ADCP RiverRay de 600 kHz;13/02/2020 07:30;13/02/2020 00:00;0,021;2454;2455;0;;banco cprm 14911000;Nailde e José Carlos;
2444;13183;;2444;2434;;;ADCP;21/04/1998 12:00;21/04/1998 00:00;0,208;2442;2450;0;HYBAM BR11 Paricatuba;hydraccess;;paricatuba
2415;16500;;2415;2414;;;ADCP;26/02/2001 12:00;26/02/2001 00:00;0,208;2414;2419;0;HYBAM BR21 Paricatuba;hydraccess;;paricatuba
2454;13500;;2454;2412;85118;0,158;4 - ADCP RiverRay de 600 kHz;13/02/2020 07:30;13/02/2020 00:00;0,021;2454;2455;0;;banco cprm 14990000;Nailde e José Carlos;
2355;8305;;2355;2354;;;ADCP;24/03/2003 12:00;24/03/2003 00:00;0,208;2354;2360;0;HYBAM BR31 Paricatuba;hydraccess;;paricatuba
2335;14128;;2335;2351;82879;0,17;;29/01/2015 06:44;29/01/2015 00:00;-0,011;2335;2340;2354,5;;banco cprm 14911000;;
2321;19248;;2321;2346;82214;0,234;;28/01/2014 07:40;28/01/2014 00:00;0,028;2321;2325;0;;banco cprm 14911000;;
2343;15350;;2343;2342;;;ADCP;26/02/2002 12:00;26/02/2002 00:00;0,208;2342;2347;0;HYBAM BR28 Paricatuba;hydraccess;;paricatuba
2285;17217;;2285;2311;82340;0,21;4 - ADCP RiverRay de 600 kHz;04/02/2018 09:52;04/02/2018 00:00;0,119;2284;2291;2313;;banco cprm 14911000;Patricia, Itaníe ALex;
2285;17217;;2285;2286;82340;0,21;4 - ADCP RiverRay de 600 kHz;04/02/2018 09:52;04/02/2018 00:00;0,119;2284;2291;2313;;banco cprm 14990000;Patricia, Itaníe ALex;
2355;12793;;2355;2276;85650;0,149;;06/02/2014 07:40;06/02/2014 00:00;0,028;2355;2360;0;;banco cprm 14911000;;
2236;8781;;2236;2262;80711;0,109;;21/03/2016 11:16;21/03/2016 00:00;0,178;2235;2243;2265,5;;banco cprm 14911000;;
2238;9973;;2238;2237;;;ADCP;11/03/2004 12:00;11/03/2004 00:00;0,208;2237;2244;0;HYBAM BR35 Paricatuba;hydraccess;;paricatuba
2210;7237;;2210;2210;;;ADCP;14/03/1995 12:00;14/03/1995 00:00;0,208;2210;2212;0;HYBAM BR02 Paricatuba;hydraccess;;paricatuba
2181;21190;;2181;2206;78970;0,26832974;ADCP+GPS;15/02/2011 10:00;15/02/2011 00:00;0,125;2179,5;2188;0;BT --> 4 BT ( cm/s) | ;hydraccess;PF;paricatuba
2203;4241;;2203;2203;;;ADCP;05/03/1995 12:00;05/03/1995 00:00;0,208;2203;2202;0;HYBAM BR02 Paricatuba;hydraccess;;paricatuba
1774;17460;;1774;2184;69180;0,25238508;ADCP 300 KHz;31/10/2009 11:00;31/10/2009 00:00;0,167;1774;1774;0;BT --> 4 BT ( cm/s) |;hydraccess;CPRM;paricatuba
2134;28722;;2134;2164;77062;0,373;;13/10/2014 17:10;13/10/2014 00:00;0,424;2139;2127;2166;;banco cprm 14911000;;
2132;24910;;2132;2152;74798;0,333;;15/12/2014 13:56;15/12/2014 00:00;0,289;2131;2133;2152;;banco cprm 14911000;;
2105;36937;;2105;2142;77161;0,479;;13/10/2013 08:54;13/10/2013 00:00;0,079;2106;2095;0;;banco cprm 14990000;;
2933;65510;;2933;2120;97992;0,669;;24/07/2014 12:36;24/07/2014 00:00;0,233;2934;2931;0;;banco cprm 14911000;;
2099;40821;;2099;2099;75224;0,543;;21/09/2008 07:25;21/09/2008 00:00;0,017;2099;2082;0;;banco cprm 14990000;;
